GP,Driver,Stint,Compound,StintLength
Australian Grand Prix,ALB,1,MEDIUM,6
Australian Grand Prix,ALO,1,MEDIUM,8
Australian Grand Prix,ALO,2,HARD,46
Australian Grand Prix,BOT,1,SOFT,1
Australian Grand Prix,BOT,2,HARD,6
Australian Grand Prix,BOT,3,HARD,52
Australian Grand Prix,DEV,1,HARD,7
Australian Grand Prix,DEV,2,MEDIUM,37
Australian Grand Prix,DEV,3,SOFT,8
Australian Grand Prix,GAS,1,SOFT,7
Australian Grand Prix,GAS,2,HARD,46
Australian Grand Prix,HAM,1,MEDIUM,7
Australian Grand Prix,HAM,2,HARD,46
Australian Grand Prix,HUL,1,MEDIUM,7
Australian Grand Prix,HUL,2,HARD,46
Australian Grand Prix,MAG,1,MEDIUM,7
Australian Grand Prix,MAG,3,HARD,45
Australian Grand Prix,NOR,1,MEDIUM,7
Australian Grand Prix,NOR,2,HARD,46
Australian Grand Prix,OCO,1,SOFT,1
Australian Grand Prix,OCO,2,HARD,6
Australian Grand Prix,OCO,3,HARD,53
Australian Grand Prix,PER,1,HARD,1
Australian Grand Prix,PER,2,MEDIUM,1
Australian Grand Prix,PER,3,HARD,5
Australian Grand Prix,PER,4,HARD,47
Australian Grand Prix,PIA,1,MEDIUM,7
Australian Grand Prix,PIA,2,HARD,46
Australian Grand Prix,RUS,1,MEDIUM,7
Australian Grand Prix,RUS,3,HARD,10
Australian Grand Prix,SAI,1,MEDIUM,7
Australian Grand Prix,SAI,3,HARD,47
Australian Grand Prix,SAR,1,HARD,1
Australian Grand Prix,SAR,2,MEDIUM,1
Australian Grand Prix,SAR,3,HARD,6
Australian Grand Prix,SAR,4,MEDIUM,28
Australian Grand Prix,SAR,5,HARD,24
Australian Grand Prix,STR,1,MEDIUM,8
Australian Grand Prix,STR,2,HARD,46
Australian Grand Prix,TSU,1,MEDIUM,7
Australian Grand Prix,TSU,2,HARD,46
Australian Grand Prix,VER,1,MEDIUM,7
Australian Grand Prix,VER,2,HARD,46
Australian Grand Prix,ZHO,1,SOFT,1
Australian Grand Prix,ZHO,2,HARD,6
Australian Grand Prix,ZHO,3,HARD,53
Austrian Grand Prix,ALB,1,MEDIUM,2
Austrian Grand Prix,ALB,2,MEDIUM,14
Austrian Grand Prix,ALB,3,HARD,27
Austrian Grand Prix,ALB,4,HARD,30
Austrian Grand Prix,ALO,1,HARD,2
Austrian Grand Prix,ALO,2,HARD,15
Austrian Grand Prix,ALO,3,MEDIUM,29
Austrian Grand Prix,ALO,4,MEDIUM,27
Austrian Grand Prix,BOT,1,HARD,2
Austrian Grand Prix,BOT,2,HARD,21
Austrian Grand Prix,BOT,3,MEDIUM,19
Austrian Grand Prix,BOT,4,HARD,30
